County,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM2.5
Napa,2019,Age groups,18-64 years,16.7,(9.4-24.0),5.968946276056338
Nevada,2019,Age groups,18-64 years,15.8,(9.7-21.9),6.299804672316384
Orange,2019,Age groups,18-64 years,15.3,(12.7-17.9),9.107763775342466
Placer,2019,Age groups,18-64 years,24.8,(18.5-31.0),7.20809133427762
Riverside,2019,Age groups,18-64 years,12.8,(10.5-15.2),4.67727062739726
Sacramento,2019,Age groups,18-64 years,19.1,(14.8-23.4),5.774376194444445
San Benito,2019,Age groups,18-64 years,20.2,(12.9-27.5),4.961618297752809
San Bernardino,2019,Age groups,18-64 years,14.4,(11.4-17.3),15.391920501369864
San Diego,2019,Age groups,18-64 years,16.7,(14.5-18.8),13.796374869688385
San Francisco,2019,Age groups,18-64 years,16.5,(12.7-20.3),7.711459540389972
San Joaquin,2019,Age groups,18-64 years,15.1,(10.6-19.6),9.287168785714286
San Luis Obispo,2019,Age groups,18-64 years,22.9,(9.9-35.9),7.0284843726027395
San Mateo,2019,Age groups,18-64 years,18.6,(13.8-23.4),7.028916630813954
Santa Barbara,2019,Age groups,18-64 years,11.1,(6.2-16.0),6.776553383561644
Santa Clara,2019,Age groups,18-64 years,15.4,(12.8-18.0),5.886988980769231
Santa Cruz,2019,Age groups,18-64 years,18.4,(12.5-24.2),6.504698509641873
Siskiyou,2019,Age groups,18-64 years,17.3,(12.3-22.4),5.863393243016761
Solano,2019,Age groups,18-64 years,26.3,(15.9-36.6),8.670733315642458
Sonoma,2019,Age groups,18-64 years,20.4,(13.3-27.5),5.723736790087464
