County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM10
Marin,2017,Age groups,18-64 years,15.6,(7.4-23.8),16.696428571428573
Mariposa,2017,Age groups,18-64 years,25.5,(9.7-41.4),23.002923976608187
Mendocino,2017,Age groups,18-64 years,14.7,(2.8-26.6),12.610951008645532
Merced,2017,Age groups,18-64 years,16.0,(6.7-25.2),34.728813559322035
Mono,2017,Age groups,18-64 years,25.5,(9.7-41.4),21.473972602739725
Monterey,2017,Age groups,18-64 years,15.5,(7.3-23.7),28.634349030470915
Orange,2017,Age groups,18-64 years,12.8,(8.9-16.7),26.74774774774775
Placer,2017,Age groups,18-64 years,16.5,(6.1-26.9),15.363372093023257
Riverside,2017,Age groups,18-64 years,16.4,(8.9-23.8),43.30958904109589
Sacramento,2017,Age groups,18-64 years,22.5,(17.0-27.9),21.797142857142855
San Bernardino,2017,Age groups,18-64 years,16.6,(12.3-20.9),25.175342465753424
San Diego,2017,Age groups,18-64 years,16.8,(13.2-20.3),22.16030534351145
San Francisco,2017,Age groups,18-64 years,13.8,(8.4-19.2),20.9
San Joaquin,2017,Age groups,18-64 years,23.8,(14.0-33.5),28.747945205479454
San Luis Obispo,2017,Age groups,18-64 years,14.4,(6.6-22.2),21.435616438356163
Santa Barbara,2017,Age groups,18-64 years,18.0,(0.4-35.6),23.421917808219177
Santa Clara,2017,Age groups,18-64 years,14.9,(11.0-18.9),20.62962962962963
Shasta,2017,Age groups,18-64 years,14.3,(4.8-23.9),15.46031746031746
Solano,2017,Age groups,18-64 years,23.1,(10.6-35.6),17.4
Sonoma,2017,Age groups,18-64 years,18.3,(6.3-30.3),13.331506849315069
Stanislaus,2017,Age groups,18-64 years,18.2,(9.3-27.2),29.6536312849162
Sutter,2017,Age groups,18-64 years,31.6,(18.7-44.6),20.687671232876713
Tehama,2017,Age groups,18-64 years,19.8,(10.2-29.5),19.5
Tulare,2017,Age groups,18-64 years,15.2,(8.7-21.8),46.315186246418335
